row_index,cluster
0,4
1,4
2,4
3,3
4,4
5,0
6,2
7,1
8,3
9,3
10,2
11,1
12,4
13,3
14,4
15,4
16,4
17,3
18,2
19,4
20,0
21,3
22,4
23,4
24,0
25,2
26,2
27,4
28,3
29,4
30,0
31,0
32,4
33,4
34,0
35,1
36,3
37,2
38,2
39,0
40,1
41,1
42,1
43,3
44,1
45,4
46,2
47,1
48,0
49,3
50,0
51,2
52,2
53,4
54,2
55,2
56,3
57,2
58,1
59,4
60,0
61,1
62,3
63,3
64,4
65,4
66,4
67,0
68,4
69,4
70,0
71,2
72,2
73,4
74,2
75,1
76,0
77,0
78,2
79,3
80,4
81,1
82,2
83,4
84,0
85,2
86,1
87,2
88,1
89,1
90,3
91,0
92,4
93,4
94,2
95,4
96,3
97,1
98,1
99,2
100,1
101,2
102,1
103,4
104,2
105,4
106,2
107,4
108,2
109,0
110,4
111,4
112,3
113,4
114,0
115,2
116,0
117,2
118,3
119,4
120,4
121,2
122,3
123,0
124,3
125,3
126,3
127,4
128,0
129,2
130,2
131,0
132,0
133,4
134,0
135,0
136,1
137,1
138,3
139,1
140,0
141,0
142,1
143,2
144,2
145,3
146,0
147,0
148,1
149,2
150,3
151,3
152,0
153,3
154,4
155,1
156,0
157,3
158,4
159,0
160,3
161,1
162,3
163,0
164,2
165,1
166,4
167,2
168,1
169,2
170,0
171,2
172,0
173,0
174,4
175,2
176,3
177,3
178,0
179,1
180,3
181,0
182,2
183,2
184,2
185,4
186,3
187,3
188,1
189,4
190,2
191,0
192,0
193,2
194,4
195,4
196,0
197,0
198,2
199,2
200,4
201,1
202,2
203,4
204,0
205,1
206,1
207,3
208,3
209,3
210,4
211,3
212,2
213,4
214,3
215,4
216,0
217,1
218,0
219,1
220,4
221,4
222,3
223,4
224,3
225,2
226,2
227,1
228,2
229,2
230,2
231,3
232,3
233,2
234,0
235,4
236,1
237,3
238,2
239,4
240,0
241,0
242,3
243,1
244,1
245,4
246,4
247,4
248,0
249,1
250,1
251,4
252,3
253,4
254,3
255,0
256,0
257,2
258,0
259,2
260,1
261,2
262,3
263,1
264,4
265,4
266,0
267,3
268,0
269,0
270,2
271,3
272,0
273,3
274,0
275,3
276,1
277,0
278,0
279,0
280,2
281,4
282,4
283,4
284,0
285,3
286,3
287,1
288,1
289,0
290,3
291,3
292,4
293,1
294,0
295,1
296,1
297,3
298,3
299,3
300,0
301,1
302,0
303,3
304,1
305,4
306,4
307,0
308,2
309,2
310,2
311,3
312,0
313,3
314,3
315,4
316,2
317,1
318,4
319,3
320,3
321,0
322,4
323,1
324,4
325,1
326,3
327,2
328,1
329,3
330,1
331,4
332,0
333,0
334,4
335,3
336,1
337,0
338,0
339,3
340,4
341,0
342,1
343,1
344,3
345,0
346,2
347,2
348,1
349,0
350,1
351,2
352,2
353,0
354,2
355,1
356,4
357,0
358,2
359,0
360,0
361,3
362,1
363,4
364,4
365,0
366,3
367,4
368,1
369,4
370,0
371,3
372,1
373,4
374,3
375,3
376,4
377,0
378,3
379,1
380,1
381,3
382,0
383,0
384,4
385,3
386,1
387,1
388,3
389,2
390,4
391,4
392,4
393,4
394,2
395,2
396,4
397,0
398,0
399,0
400,2
401,1
402,0
403,1
404,1
405,0
406,0
407,0
408,4
409,3
410,2
411,0
412,4
413,2
414,3
415,2
416,3
417,3
418,0
419,2
420,3
421,4
422,3
423,2
424,0
425,3
426,2
427,0
428,2
429,2
430,1
431,1
432,4
433,4
434,1
435,1
436,1
437,0
438,0
439,4
440,4
441,1
442,4
443,3
444,4
445,0
446,0
447,3
448,2
449,3
450,0
451,1
452,2
453,4
454,0
455,0
456,1
457,3
458,3
459,4
460,1
461,2
462,1
463,4
464,2
465,0
466,0
467,2
468,1
469,4
470,3
471,2
472,1
473,1
474,1
475,3
476,0
477,2
478,3
479,3
480,3
481,4
482,2
483,4
484,3
485,0
486,0
487,2
488,3
489,0
490,4
491,4
492,4
493,2
494,4
495,3
496,4
497,4
498,1
499,0
500,3
501,0
502,2
503,4
504,1
505,4
506,1
507,4
508,4
509,0
510,3
511,1
512,2
513,3
514,4
515,0
516,2
517,4
518,1
519,3
520,3
521,1
522,0
523,0
524,4
525,1
526,1
527,0
528,2
529,3
530,4
531,2
532,3
533,4
534,1
535,2
536,4
537,2
538,1
539,0
540,1
541,4
542,0
543,2
544,4
545,4
546,1
547,3
548,1
549,0
550,3
551,0
552,3
553,2
554,3
555,0
556,2
557,3
558,4
559,4
560,4
561,2
562,1
563,4
564,1
565,2
566,3
567,4
568,3
569,3
570,0
571,3
572,3
573,2
574,1
575,2
576,0
577,2
578,0
579,1
580,2
581,4
582,0
583,3
584,3
585,2
586,2
587,2
588,1
589,3
590,1
591,1
592,2
593,4
594,3
595,1
596,1
597,3
598,2
599,3
600,3
601,4
602,3
603,1
604,3
605,2
606,4
607,0
608,4
609,2
610,1
611,2
612,1
613,3
614,0
615,3
616,1
617,3
618,0
619,4
620,0
621,0
622,0
623,2
624,0
625,4
626,1
627,4
628,0
629,4
630,3
631,4
632,4
633,4
634,4
635,0
636,2
637,4
638,0
639,4
640,0
641,0
642,4
643,3
644,2
645,3
646,3
647,2
648,2
649,3
650,4
651,4
652,1
653,2
654,4
655,4
656,2
657,2
658,3
659,1
660,4
661,4
662,4
663,3
664,0
665,0
666,4
667,2
668,0
669,3
670,2
671,2
672,1
673,4
674,4
675,4
676,0
677,3
678,1
679,1
680,2
681,4
682,4
683,0
684,0
685,3
686,0
687,0
688,3
689,3
690,1
691,1
692,4
693,4
694,2
695,3
696,1
697,4
698,4
699,3
700,3
701,0
702,2
703,4
704,3
705,3
706,3
707,3
708,0
709,4
710,1
711,0
712,4
713,4
714,0
715,4
716,4
717,1
718,0
719,0
720,2
721,0
722,2
723,4
724,2
725,4
726,1
727,4
728,4
729,2
730,3
731,2
732,0
733,4
734,4
735,4
736,0
737,2
738,0
739,1
740,4
741,0
742,1
743,3
744,2
745,3
746,1
747,2
748,1
749,3
750,1
751,2
752,0
753,3
754,0
755,0
756,3
757,1
758,3
759,0
760,0
761,3
762,0
763,0
764,3
765,2
766,2
767,4
768,1
769,2
770,2
771,0
772,1
773,3
774,0
775,0
776,4
777,4
778,0
779,2
780,4
781,2
782,0
783,4
784,4
785,4
786,2
787,1
788,2
789,0
790,2
791,4
792,0
793,4
794,0
795,1
796,0
797,4
798,4
799,0
800,3
801,3
802,0
803,0
804,1
805,2
806,3
807,1
808,4
809,0
810,0
811,4
812,0
813,1
814,1
815,4
816,1
817,4
818,3
819,0
820,2
821,1
822,2
823,0
824,1
825,1
826,1
827,4
828,4
829,4
830,2
831,0
832,1
833,2
834,3
835,0
836,3
837,4
838,3
839,3
840,0
841,0
842,1
843,4
844,1
845,2
846,1
847,2
848,2
849,4
850,1
851,4
852,3
853,0
854,4
855,2
856,2
857,3
858,4
859,3
860,0
861,0
862,1
863,0
864,2
865,4
866,2
867,1
868,2
869,4
870,1
871,2
872,1
873,4
874,0
875,0
876,2
877,4
878,3
879,2
880,1
881,1
882,2
883,1
884,0
885,2
886,4
887,2
888,3
889,1
890,3
891,2
892,0
893,2
894,1
895,2
896,1
897,1
898,4
899,2
900,0
901,1
902,4
903,1
904,2
905,2
906,2
907,1
908,4
909,3
910,2
911,0
912,4
913,1
914,3
915,2
916,4
917,4
918,4
919,0
920,3
921,1
922,4
923,4
924,0
925,2
926,0
927,4
928,4
929,4
930,4
931,3
932,3
933,2
934,3
935,1
936,4
937,4
938,3
939,1
940,2
941,2
942,0
943,1
944,1
945,0
946,4
947,2
948,4
949,0
950,2
951,1
952,4
953,0
954,2
955,1
956,3
957,4
958,3
959,1
960,4
961,1
962,1
963,1
964,2
965,2
966,2
967,2
968,3
969,3
970,4
971,4
972,1
973,2
974,2
975,4
976,4
977,0
978,3
979,3
980,3
981,1
982,2
983,2
984,0
985,3
986,4
987,2
988,4
989,4
990,2
991,3
992,2
993,3
994,1
995,4
996,0
997,0
998,0
999,3
